,Time,Ax,Ay,Az,Gx,Gy,Gz,Label
86,65220,-0.3,-0.68,-0.74,-2.8,1.28,1.65,1.0
87,65294,-0.21,-0.66,-0.61,-4.82,3.29,12.2,1.0
88,65404,-0.18,-0.61,-0.68,-2.13,10.98,-10.3,1.0
89,65514,-0.22,-0.67,-0.72,-5.91,11.22,-14.88,1.0
90,65597,-0.12,-0.64,-0.66,-1.46,11.77,-2.62,1.0
91,65698,-0.32,-0.72,-0.71,-2.5,17.13,-11.71,1.0
92,65781,-0.18,-0.69,-0.68,-4.15,13.66,-37.68,1.0
93,65900,-0.03,-0.85,-0.73,-5.55,13.78,-9.02,1.0
94,66011,-0.15,-0.7,-0.63,-2.87,16.16,11.52,1.0
95,66084,-0.03,-0.63,-0.65,-32.56,23.78,-39.15,1.0
96,66195,0.35,-0.62,0.42,-121.71,38.11,33.54,1.0
97,66341,0.02,-0.6,-0.91,-53.48,-3.9,-36.77,1.0
98,66425,0.14,-0.65,-0.91,-64.27,-16.71,-42.62,1.0
99,66527,0.06,-0.44,-0.91,-112.56,-26.65,-97.07,1.0
100,66638,0.13,-0.36,-1.98,-88.84,-33.48,-62.56,1.0
101,66721,-0.02,-0.01,-0.85,-32.8,-5.73,-45.91,1.0
102,66831,0.05,0.24,-0.82,-5.06,47.5,-53.35,1.0
103,66905,-0.18,0.13,-0.95,34.94,18.54,-41.89,1.0
104,67087,-0.07,-0.16,-0.81,7.87,-35.06,-3.96,1.0
105,67196,0.07,-0.2,-0.9,-55.06,21.89,-53.9,1.0
106,67276,0.09,-0.14,-1.03,-46.89,4.63,-56.46,1.0
107,67374,0.41,-0.13,-0.7,26.4,24.63,-67.44,1.0
108,67482,0.48,-0.16,-0.81,4.57,67.68,-110.85,1.0
109,67561,0.5,-0.17,-1.18,-21.71,44.39,-71.16,1.0
110,67668,0.44,0.22,-1.16,-8.84,4.33,-16.65,1.0
111,67738,0.27,0.04,-1.16,19.88,-29.09,12.74,1.0
112,67845,0.02,-0.02,-1.12,8.29,22.56,33.96,1.0
113,67953,0.47,-0.33,-0.98,18.78,26.83,105.91,1.0
114,68031,0.21,-0.1,-0.8,-0.61,26.59,-2.44,1.0
115,68129,0.22,0.1,-0.92,-10.24,15.79,-1.1,1.0
116,68236,0.05,-0.08,-0.91,20.06,-63.9,-24.51,1.0
117,68316,0.06,-0.32,-1.01,25.3,-48.35,28.41,1.0
118,68432,-0.12,-0.31,-0.93,13.23,-9.63,22.93,1.0
119,68503,-0.03,-0.1,-0.91,-8.66,-9.27,30.24,1.0
120,68609,0.22,-0.03,-1.02,-7.2,-8.6,22.2,1.0
121,68717,0.25,-0.16,-1.03,11.16,27.68,-2.44,1.0
122,68797,0.1,-0.29,-0.82,21.89,28.72,-51.77,1.0
123,68896,0.24,-0.37,-0.79,21.46,-9.82,-38.41,1.0
124,69004,0.36,-0.11,-0.88,-1.46,21.46,-61.46,1.0
